epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1140.93,1.34074,2.56575,1.54784,0.55329,0.67644,0.64294,0.39678,1.21044,2.13251,1.4963,0.000276679,0.000276679,0.000276679
2,2303.52,1.32996,1.81116,1.51584,0.71693,0.62698,0.7097,0.45711,1.07972,1.87395,1.38563,0.000543369,0.000543369,0.000543369
3,4459.88,1.32856,1.61308,1.50782,0.71644,0.67478,0.73183,0.46274,1.11808,1.40066,1.40231,0.000799064,0.000799064,0.000799064
4,5619.3,1.31352,1.4685,1.4917,0.72333,0.66488,0.72833,0.46578,1.08503,1.25828,1.38488,0.00078352,0.00078352,0.00078352
5,6678.51,1.27765,1.36835,1.47098,0.76192,0.80481,0.80185,0.52742,1.00363,1.03895,1.31373,0.000767026,0.000767026,0.000767026
6,7768.11,1.24418,1.25461,1.43176,0.73037,0.75405,0.79006,0.52306,0.97175,0.97961,1.28037,0.000750533,0.000750533,0.000750533
7,8827.07,1.22614,1.20408,1.42772,0.79144,0.83396,0.8595,0.59915,0.92652,0.81087,1.24786,0.00073404,0.00073404,0.00073404
8,9960.64,1.2074,1.14342,1.40345,0.79337,0.83031,0.86791,0.58301,0.98617,0.80641,1.29532,0.000717546,0.000717546,0.000717546
9,11038.9,1.19353,1.09842,1.39401,0.87329,0.83742,0.89471,0.61326,0.9454,0.70863,1.26397,0.000701053,0.000701053,0.000701053
10,12190.7,1.16849,1.05602,1.37703,0.86481,0.85729,0.90606,0.64168,0.85567,0.6727,1.18483,0.000684559,0.000684559,0.000684559
11,13273.3,1.15928,1.02714,1.36962,0.85207,0.85682,0.907,0.64208,0.86943,0.64552,1.1951,0.000668066,0.000668066,0.000668066
12,14398.1,1.14118,0.99576,1.36106,0.85638,0.85418,0.89191,0.64659,0.89607,0.63419,1.2141,0.000651573,0.000651573,0.000651573
13,15551.2,1.12857,0.97199,1.35411,0.87318,0.88638,0.91058,0.65563,0.85634,0.63242,1.16821,0.000635079,0.000635079,0.000635079
14,16662.2,1.1001,0.93071,1.33043,0.85584,0.85536,0.91059,0.65292,0.82887,0.58332,1.14906,0.000618586,0.000618586,0.000618586
15,17784.6,1.0962,0.917,1.33871,0.86116,0.81236,0.90137,0.63144,0.85033,0.65288,1.17827,0.000602092,0.000602092,0.000602092
16,19587,1.1093,0.91097,1.3356,0.88926,0.8719,0.92382,0.67715,0.82814,0.54988,1.15062,0.000585599,0.000585599,0.000585599
17,21071,1.07775,0.88776,1.32276,0.87171,0.88184,0.93161,0.68613,0.79197,0.53747,1.12686,0.000569106,0.000569106,0.000569106
18,22552.4,1.07443,0.87092,1.3156,0.88853,0.90837,0.93331,0.66113,0.82917,0.55627,1.1452,0.000552612,0.000552612,0.000552612
19,24035,1.06994,0.85891,1.30985,0.8902,0.87711,0.92677,0.67512,0.81917,0.55045,1.13817,0.000536119,0.000536119,0.000536119
20,25516.4,1.05274,0.8391,1.30606,0.88667,0.89891,0.93806,0.68789,0.80732,0.52868,1.13211,0.000519625,0.000519625,0.000519625
21,26999.4,1.04209,0.81256,1.29132,0.8714,0.89041,0.92943,0.68525,0.80528,0.52462,1.1199,0.000503132,0.000503132,0.000503132
22,28530.9,1.0356,0.81665,1.29424,0.91444,0.87821,0.93659,0.69928,0.7887,0.50416,1.11691,0.000486639,0.000486639,0.000486639
23,30011.9,1.0193,0.79536,1.28037,0.87776,0.90792,0.93345,0.7026,0.77844,0.51355,1.12727,0.000470145,0.000470145,0.000470145
24,31493.1,1.02352,0.78298,1.27791,0.8836,0.88675,0.92192,0.69418,0.78259,0.51294,1.11069,0.000453652,0.000453652,0.000453652
25,32974.2,1.01563,0.76982,1.27793,0.92584,0.90755,0.94728,0.70438,0.77716,0.49505,1.10934,0.000437158,0.000437158,0.000437158
26,34502.7,1.00972,0.76782,1.27274,0.91297,0.90117,0.95444,0.709,0.78153,0.49365,1.10894,0.000420665,0.000420665,0.000420665
27,35983.1,1.01258,0.75867,1.26911,0.91255,0.89763,0.94626,0.70434,0.77178,0.49943,1.08659,0.000404172,0.000404172,0.000404172
28,37464.1,0.99083,0.73006,1.25806,0.89182,0.92384,0.94851,0.70717,0.78396,0.48522,1.10673,0.000387678,0.000387678,0.000387678
29,38992,0.9723,0.72698,1.24993,0.92959,0.89852,0.94274,0.71298,0.7618,0.47978,1.10315,0.000371185,0.000371185,0.000371185
30,40473.1,0.97043,0.72435,1.24832,0.92149,0.91236,0.95502,0.71758,0.75955,0.45979,1.09254,0.000354691,0.000354691,0.000354691
31,41953.4,0.96954,0.70292,1.24032,0.9056,0.93681,0.95487,0.71941,0.74763,0.44997,1.08102,0.000338198,0.000338198,0.000338198
32,43435,0.96659,0.69604,1.24127,0.89715,0.94226,0.95419,0.72574,0.75021,0.44365,1.0784,0.000321705,0.000321705,0.000321705
33,44916,0.95023,0.6914,1.23317,0.91298,0.9155,0.94516,0.72631,0.73926,0.4431,1.07417,0.000305211,0.000305211,0.000305211
34,46446,0.9426,0.68437,1.22619,0.91135,0.95041,0.95572,0.72094,0.74851,0.44468,1.08099,0.000288718,0.000288718,0.000288718
35,47928,0.92797,0.66873,1.2159,0.91549,0.92694,0.95306,0.73144,0.75241,0.42901,1.0882,0.000272224,0.000272224,0.000272224
36,49413.3,0.9343,0.67292,1.22422,0.93268,0.88029,0.94826,0.72934,0.73309,0.42905,1.07887,0.000255731,0.000255731,0.000255731
37,50948.8,0.9282,0.65916,1.21257,0.92731,0.92032,0.95414,0.73573,0.72804,0.41608,1.06211,0.000239238,0.000239238,0.000239238
38,52432.4,0.92085,0.64969,1.21286,0.91777,0.93521,0.95814,0.73443,0.72764,0.41276,1.06787,0.000222744,0.000222744,0.000222744
39,53918.1,0.8998,0.64652,1.20384,0.92898,0.93335,0.9573,0.73486,0.72169,0.4017,1.06023,0.000206251,0.000206251,0.000206251
40,55401.9,0.91041,0.64516,1.20492,0.9322,0.94069,0.96019,0.73956,0.72506,0.41521,1.06651,0.000189757,0.000189757,0.000189757
41,56884.9,0.83995,0.50041,1.18414,0.92018,0.93352,0.95561,0.74107,0.7302,0.40856,1.06829,0.000173264,0.000173264,0.000173264
42,58365.5,0.81789,0.47735,1.16977,0.91829,0.93305,0.95259,0.74289,0.70078,0.41215,1.04291,0.000156771,0.000156771,0.000156771
43,59847.9,0.8103,0.46922,1.15962,0.91447,0.93132,0.95141,0.74449,0.71019,0.40327,1.05552,0.000140277,0.000140277,0.000140277
44,61378.6,0.78947,0.45784,1.14895,0.92652,0.93793,0.95053,0.74095,0.69828,0.39564,1.04598,0.000123784,0.000123784,0.000123784
45,62864.1,0.77911,0.44712,1.14383,0.92829,0.92528,0.95214,0.74402,0.70021,0.39354,1.04965,0.00010729,0.00010729,0.00010729
46,63983,0.77301,0.44465,1.13866,0.90785,0.94469,0.95907,0.74951,0.70001,0.38672,1.05526,9.0797e-05,9.0797e-05,9.0797e-05
47,65166.5,0.76986,0.43846,1.13161,0.92307,0.92874,0.95026,0.7473,0.70104,0.3847,1.05525,7.43036e-05,7.43036e-05,7.43036e-05
48,66359.7,0.7532,0.42645,1.11853,0.92104,0.93088,0.95639,0.74945,0.69143,0.3821,1.04924,5.78102e-05,5.78102e-05,5.78102e-05
49,67450,0.75151,0.42906,1.12239,0.92103,0.93257,0.95609,0.74783,0.69351,0.38673,1.04545,4.13168e-05,4.13168e-05,4.13168e-05
50,68527.2,0.73994,0.41828,1.12068,0.92942,0.92597,0.95493,0.74794,0.69148,0.38545,1.04444,2.48234e-05,2.48234e-05,2.48234e-05
